X,Y,x_transform,y_transform,orderby,visualization,node_info
Node:carrier,time,None,None,None,pie,2.0846332466755517Score:757250508.6564773LessThan:204
Node:destcity,time,None,None,None,pie,2.0846332466755517Score:757250508.6564773LessThan:204
Node:carrier,time,None,None,orderY,pie,2.0846332466755517Score:757250508.6564773LessThan:204
Node:destcity,time,None,None,orderY,pie,2.0846332466755517Score:757250508.6564773LessThan:204
Node:carrier,depdelay,None,None,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,None,None,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,None,None,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,None,None,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,None,None,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,None,None,None,bar,1.0Score:12019848.173038378LessThan:142
Node:depdelay,arrdelay,None,None,None,line,1.0Score:12019848.173038378LessThan:142
Node:arrdelay,depdelay,None,None,None,line,1.0Score:12019848.173038378LessThan:142
Node:carrier,date,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,destcity,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,depdelay,group,avg,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,depdelay,group,sum,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,depdelay,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,group,avg,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,group,sum,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,group,avg,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,group,sum,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,date,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,carrier,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,group,avg,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,group,sum,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,group,avg,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,group,sum,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,group,avg,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,group,sum,None,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,group,cnt,None,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,depdelay,None,None,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,None,None,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,None,None,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,None,None,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,None,None,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,None,None,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:depdelay,arrdelay,None,None,orderX,line,1.0Score:12019848.173038378LessThan:142
Node:depdelay,arrdelay,None,None,orderY,line,1.0Score:12019848.173038378LessThan:142
Node:arrdelay,depdelay,None,None,orderX,line,1.0Score:12019848.173038378LessThan:142
Node:arrdelay,depdelay,None,None,orderY,line,1.0Score:12019848.173038378LessThan:142
Node:carrier,date,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,destcity,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,depdelay,group,avg,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,depdelay,group,sum,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,depdelay,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,group,avg,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,group,sum,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,arrdelay,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,group,avg,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,group,sum,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:carrier,time,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,date,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,carrier,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,group,avg,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,group,sum,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,depdelay,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,group,avg,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,group,sum,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,arrdelay,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,group,avg,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,group,sum,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:destcity,time,group,cnt,orderY,bar,1.0Score:12019848.173038378LessThan:142
Node:depdelay,arrdelay,None,None,None,scatter,0.917122937258141Score:3004961.0625476786LessThan:139
Node:depdelay,arrdelay,None,None,orderX,scatter,0.917122937258141Score:3004961.0625476786LessThan:139
Node:depdelay,arrdelay,None,None,orderY,scatter,0.917122937258141Score:3004961.0625476786LessThan:139
Node:arrdelay,depdelay,None,None,None,scatter,0.9171229372581409Score:751240.2656369215LessThan:136
Node:arrdelay,depdelay,None,None,orderX,scatter,0.9171229372581409Score:751240.2656369215LessThan:136
Node:arrdelay,depdelay,None,None,orderY,scatter,0.9171229372581409Score:751240.2656369215LessThan:136
Node:destcity,date,group,cnt,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,carrier,group,cnt,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,depdelay,group,sum,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,depdelay,group,cnt,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,arrdelay,group,sum,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,arrdelay,group,cnt,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,time,group,sum,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,time,group,cnt,None,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,date,group,cnt,orderY,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,carrier,group,cnt,orderY,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,depdelay,group,sum,orderY,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,depdelay,group,cnt,orderY,pie,0.8450980400142568Score:44190.41179460267LessThan:120
Node:destcity,arrdelay,group,sum,orderY,pie,0.8450980400142568Score:44190.41179460267LessThan:120
