X,Y,x_transform,y_transform,orderby,visualization,node_info
Europe,3,None,None,None,pie,1.4414229143941335Score:113374050425501.11LessThan:264
Men,3,None,None,None,pie,1.4414229143941335Score:113374050425501.11LessThan:264
Bronze,3,None,None,None,pie,1.4414229143941335Score:113374050425501.11LessThan:264
Europe,3,None,None,orderY,pie,1.4414229143941335Score:113374050425501.11LessThan:264
Men,3,None,None,orderY,pie,1.4414229143941335Score:113374050425501.11LessThan:264
Bronze,3,None,None,orderY,pie,1.4414229143941335Score:113374050425501.11LessThan:264
Greece,3,None,None,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,3,None,None,None,bar,1.0Score:1122515350747.1482LessThan:164
Aquatics,3,None,None,None,bar,1.0Score:1122515350747.1482LessThan:164
Men,3,None,None,None,bar,1.0Score:1122515350747.1482LessThan:164
Bronze,3,None,None,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,1896-04-06,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,Athens,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,Europe,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,Aquatics,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,Men,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,Bronze,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,3,group,avg,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,3,group,sum,None,bar,1.0Score:1122515350747.1482LessThan:164
Greece,3,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,1896-04-06,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,Athens,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,Greece,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,Aquatics,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,Men,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,Bronze,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,3,group,avg,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,3,group,sum,None,bar,1.0Score:1122515350747.1482LessThan:164
Europe,3,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Aquatics,1896-04-06,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Aquatics,Athens,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Aquatics,Greece,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Aquatics,Europe,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Aquatics,Men,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
Aquatics,Bronze,group,cnt,None,bar,1.0Score:1122515350747.1482LessThan:164
