Node: Region, Dystopia Residual, None, None, None, pie, 2.498310553789607 Score: 1.486363823168189e+61 Less Than: 1064
Node: Region, Dystopia Residual, None, None, orderY, pie, 2.498310553789607 Score: 1.486363823168189e+61 Less Than: 1064
Node: Region, Family, None, None, None, pie, 2.496399252229836 Score: 2.9727276463364113e+60 Less Than: 1060
Node: Region, Generosity, None, None, None, pie, 2.496399252229836 Score: 2.9727276463364113e+60 Less Than: 1060
Node: Region, Family, None, None, orderY, pie, 2.496399252229836 Score: 2.9727276463364113e+60 Less Than: 1060
Node: Region, Generosity, None, None, orderY, pie, 2.496399252229836 Score: 2.9727276463364113e+60 Less Than: 1060
Node: Region, Economy (GDP per Capita), None, None, None, pie, 2.4944879506700643 Score: 9.909092154454686e+59 Less Than: 1058
Node: Region, Economy (GDP per Capita), None, None, orderY, pie, 2.4944879506700643 Score: 9.909092154454686e+59 Less Than: 1058
Node: Region, Health (Life Expectancy), None, None, None, pie, 2.492576649110293 Score: 1.981818430890927e+59 Less Than: 1054
Node: Region, Trust (Government Corruption), None, None, None, pie, 2.492576649110293 Score: 1.981818430890927e+59 Less Than: 1054
Node: Region, Health (Life Expectancy), None, None, orderY, pie, 2.492576649110293 Score: 1.981818430890927e+59 Less Than: 1054
Node: Region, Trust (Government Corruption), None, None, orderY, pie, 2.492576649110293 Score: 1.981818430890927e+59 Less Than: 1054
Node: Region, Freedom, None, None, None, pie, 2.4849314428712086 Score: 6.606061436303076e+58 Less Than: 1052
Node: Region, Freedom, None, None, orderY, pie, 2.4849314428712086 Score: 6.606061436303076e+58 Less Than: 1052
Node: Region, Happiness Score, None, None, None, pie, 2.467729728833267 Score: 2.2020204787676906e+58 Less Than: 1050
Node: Region, Happiness Score, None, None, orderY, pie, 2.467729728833267 Score: 2.2020204787676906e+58 Less Than: 1050
Node: Region, Happiness Rank, None, None, None, pie, 2.19535057358484 Score: 7.34006826255896e+57 Less Than: 1048
Node: Region, Happiness Rank, None, None, orderY, pie, 2.19535057358484 Score: 7.34006826255896e+57 Less Than: 1048
Node: Region, Happiness Rank, None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Economy (GDP per Capita), None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, None, None, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Happiness Rank, Happiness Score, None, None, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Happiness Score, Happiness Rank, None, None, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Country, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Region, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, avg, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, sum, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, cnt, None, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Time, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Country, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
