Node: Cat1, Int2, None, None, None, pie, 2.9331595706845603 Score: 14372.590002478242 Less Than: 79
Node: Cat1, Int2, None, None, orderY, pie, 2.9331595706845603 Score: 14372.590002478242 Less Than: 79
Node: Cat1, Int1, None, None, None, pie, 1.9808972242471152 Score: 4782.504586896241 Less Than: 77
Node: Cat1, Int1, None, None, orderY, pie, 1.9808972242471152 Score: 4782.504586896241 Less Than: 77
Node: Cat1, Int1, None, None, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, None, None, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, group, avg, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, group, sum, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, group, cnt, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, group, avg, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, group, sum, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, group, cnt, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Temp1, group, cnt, None, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, None, None, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, None, None, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, group, avg, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, group, sum, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, group, cnt, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, group, avg, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, group, sum, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int2, group, cnt, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Temp1, group, cnt, orderY, bar, 1.0 Score: 250.38569604248588 Less Than: 59
Node: Cat1, Int1, group, sum, None, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Int1, group, cnt, None, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Int2, group, sum, None, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Int2, group, cnt, None, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Temp1, group, cnt, None, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Int1, group, sum, orderY, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Int1, group, cnt, orderY, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Int2, group, sum, orderY, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Int2, group, cnt, orderY, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Cat1, Temp1, group, cnt, orderY, pie, 0.4771212547196624 Score: 21.827492186542948 Less Than: 49
Node: Int1, Int2, None, None, None, bar, 0.2 Score: 4.32529458986379 Less Than: 46
Node: Int1, Int2, None, None, orderX, bar, 0.2 Score: 4.32529458986379 Less Than: 46
Node: Int1, Int2, None, None, orderY, bar, 0.2 Score: 4.32529458986379 Less Than: 46
Node: Int2, Int1, None, None, None, bar, 0.02242152466367713 Score: 0.40060615867670923 Less Than: 43
Node: Int2, Int1, None, None, orderX, bar, 0.02242152466367713 Score: 0.40060615867670923 Less Than: 43
Node: Int2, Int1, None, None, orderY, bar, 0.02242152466367713 Score: 0.40060615867670923 Less Than: 43
Node: Int1, Int2, None, None, None, scatter, 0.001100430164314864 Score: 0.013571972026549996 Less Than: 37
Node: Int2, Int1, None, None, None, scatter, 0.001100430164314864 Score: 0.013571972026549996 Less Than: 37
Node: Int1, Int2, None, None, orderX, scatter, 0.001100430164314864 Score: 0.013571972026549996 Less Than: 37
Node: Int1, Int2, None, None, orderY, scatter, 0.001100430164314864 Score: 0.013571972026549996 Less Than: 37
Node: Int2, Int1, None, None, orderX, scatter, 0.001100430164314864 Score: 0.013571972026549996 Less Than: 37
Node: Int2, Int1, None, None, orderY, scatter, 0.001100430164314864 Score: 0.013571972026549996 Less Than: 37
Node: Int1, Int2, None, None, None, line, 0.0 Score: 0 Less Than: 0
Node: Int2, Int1, None, None, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, None, None, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, None, None, None, line, 0.0 Score: 0 Less Than: 0
Node: Cat1, Int1, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: Cat1, Int2, group, avg, None, pie, 0.0 Score: 0 Less Than: 0
Node: Temp1, Cat1, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, avg, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, sum, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, group, avg, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, group, sum, None, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, group, cnt, None, line, 0.0 Score: 0 Less Than: 0
Node: Int1, Int2, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Int1, Int2, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Int2, Int1, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Int2, Int1, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, None, None, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, None, None, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Cat1, Int1, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
Node: Cat1, Int2, group, avg, orderY, pie, 0.0 Score: 0 Less Than: 0
Node: Temp1, Cat1, group, cnt, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Cat1, group, cnt, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, avg, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, avg, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, sum, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, sum, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, cnt, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int1, group, cnt, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, group, avg, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, group, avg, orderY, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, group, sum, orderX, line, 0.0 Score: 0 Less Than: 0
Node: Temp1, Int2, group, sum, orderY, line, 0.0 Score: 0 Less Than: 0
