Price,Place,Beds,Bath,Sq.Ft
979999,Glenbrook,4,3.5,1813
439900,Mahogany,2,2,1029
950000,Auburn Bay,4,2.5,2545
280000,Beltline,2,2,898
649000,Spruce Cliff,2,2,1482
434900,Abbeydale,6,2,1059
419900,Temple,3,2.5,1218
499900,Southwood,4,2,1133
269900,Sunnyside,2,1,756
627900,Royal Oak,2,2.5,1303
910000,Evanston,4,3.5,2500
939750,Royal Oak,4,3.5,1747
399900,New Brighton,3,2.5,1125
425000,Willow Park,3,2.5,1353
999000,Evergreen,4,3.5,1835
649000,Evanston,5,3.5,1748
600000,Crescent Heights,2,2,783
339900,Spruce Cliff,2,2,1086
310000,Rocky Ridge,2,2,836
629900,Livingston,4,3.5,1519
739888,Belmont,4,2.5,1796
499900,Monterey Park,3,3,1066
269000,South CA,1,1,707
519900,Penbrooke Meadows,5,2.5,1193
212000,Mission,1,1,563
799999,Silverado,4,3.5,2321
299900,Falconridge,3,1.5,1001
495000,Mckenzie Towne,3,1.5,1122
309900,Skyview Ranch,2,2,835
1097000,Aspen Woods,3,2.5,2524
999900,Maple Ridge,5,4.5,1557
849000,Bankview,5,2,1086
595000,Mahogany,4,3.5,1382
639900,Mahogany,6,5,1762
270000,Dover,2,1,758
828345,Hillhurst,2,2,1094
575000,Coventry Hills,4,2.5,1306
825000,Altadore,4,2,1282
169900,Forest Lawn,2,1,751
624800,Mayland Heights,4,2,998
579000,Taradale,4,2.5,1238
525000,Mount Pleasant,3,1,982
1325000,Garrison Green,4,3.5,2636
849000,Winston Heights/Mountview,4,2,1096
429900,Erin Woods,3,2,905
199900,Forest Glen Gardens,3,1.5,996
384900,Shawnessy West,3,1.5,1027
4899000,Aspen Woods,6,6.5,5048
229900,Renfrew,2,1,817
364900,Redstone,2,2.5,1016
449900,Mayland Heights,4,3,1020
1149900,Richmond,5,3.5,1871
3100000,Bowness,6,4.5,4231
374900,Skyview Ranch,2,2.5,1278
539000,Discovery Ridge,2,2,1379
724900,Cliff Bungalow,2,2.5,1446
898898,West Hillhurst,3,2,1007
299900,Copperfield,2,2,803
469000,Chinatown,1,1,700
883900,Christie Park,3,2.5,1384
539000,Beddington Heights,5,3,1791
539800,Spruce Cliff,2,2,1148
939900,Edgemont,6,4,2638
649900,Livingston,4,3,1759
269000,Vista Heights,3,1,1011
369800,Millgreen Village,3,1.5,1052
319900,Sage Hill,2,1,764
363900,Arbour Lake,2,2,985
1239900,Springbank Hill,3,3.5,2604
699900,Walden,3,2.5,1948
239900,Storybook Village,2,1,446
729900,Walden,3,2.5,2105
279900,Beltline,1,1,445
649900,Oakridge,3,2.5,2426
578000,Downtown West End,2,2,823
424900,Redstone,3,2.5,1161
570000,Silverado,3,2.5,1687
969900,Hounsfield Heights/Briar Hill,4,3,1601
319000,Skyview Ranch,2,2,850
699000,Somerset,4,3.5,1785
578875,Montgomery,4,2,810
335000,Thorncliffe,2,2,948
839900,Sherwood,4,3.5,2215
1389000,West Hillhurst,4,3.5,1952
809000,Bowness,4,3.5,1786
575000,Mount Pleasant,2,1,920
615000,Hotchkiss,3,2.5,1846
320000,Beltline,2,2,832
699900,Lakeview,4,1.5,1273
499999,Brentwood,2,2,753
423000,West Springs,2,2.5,1184
859900,Evergreen,2,2,1367
300000,Canyon Creek Heights,3,1,1017
569900,Saddle Ridge,3,2,1034
330000,Beltline,1,1,549
1015000,Capitol Hill,4,3.5,1767
599000,Hidden Valley,2,3.5,1294
649900,Homestead,6,3.5,1992
1289000,North Glenmore Park,5,3.5,2357
1284000,North Glenmore Park,5,3,2343
875000,Saddle Ridge,4,4,2651
589000,Cityscape,3,2.5,1480
749900,Woodlands,4,3.5,2332
849990,Evanston,4,2.5,2556
1049000,Oakridge,4,2.5,2734
215000,Country Hills Village,1,1,570
419900,Copperfield,3,2.5,1229
709900,Yorkville,3,2.5,1913
1322800,Mahogany,4,3.5,2901
449900,Chesapeake,2,2,1249
725000,Chaparral,4,3.5,1946
399900,Walden,2,2.5,1229
729900,Bridgeland/Riverside,2,2,1227
999000,Rosscarrock,4,3.5,2255
525000,Lake Bonavista,2,2,1211
375000,Forest Lawn,2,2,750
239900,Sunnyside,1,1,426
710000,Cougar Ridge,4,3.5,1803
525000,New Brighton,4,3.5,1890
819900,Lake Bonavista,4,3,1288
719000,Kincora,3,2.5,2134
659000,Walden,3,2.5,2010
580900,,1,1.5,964
799000,Beltline,2,2,1319
2498000,Britannia,4,5,4226
429900,Mosaic Cranston,2,2,1134
369900,Beltline,2,2,1010
894900,Parkland,4,3.5,1837
499000,Chaparral,4,2.5,1425
1249900,Richmond,4,3.5,2080
799000,Renfrew,4,3,1358
699000,Renfrew,4,2,1059
599900,Somerset,4,2.5,1815
782000,Cougar Ridge,3,2.5,2129
885000,Glendale,4,2,1289
215000,Haysboro,1,1,700
2050000,Mission,2,2,2347
579900,Highwood,5,2,926
798000,Meadowlark Park,3,4,1188
840000,Woodlands,5,3.5,2352
675000,Brentwood,4,1.5,1257
599000,Martindale,5,3,1003
319900,Beltline,1,1,534
839900,Willow Park,1,1.5,2132
949999,Rocky Ridge,3,2.5,1465
179900,Forest Lawn,2,1,815
170000,Highland Park,2,1,709
699000,Ranchlands,5,4,1774
670000,Garrison Woods,2,2.5,1552
220000,Killarney/Glengarry,2,1,747
324900,Skyview Ranch,2,2,882
550000,Acadia,3,1.5,1068
520000,Montgomery,1,1,749
359000,Mission,2,2,1208
899900,Edgemont,2,2.5,1565
299900,Walden,2,1,602
599900,Saddle Ridge,4,2.5,1416
890000,Christie Park,5,3.5,2117
1049900,Springbank Hill,4,3.5,2463
1885000,West Springs,5,4.5,2589
820000,Walden,5,3.5,2235
584900,Monterey Park,5,3,2047
699000,Brentwood,4,3,1485
1215000,Cougar Ridge,4,3.5,2657
1480000,West Springs,5,3.5,2911
1349000,Cranston,5,4.5,2758
334900,Riverside Gate,3,1.5,1008
684900,Coach Hill,3,2.5,1751
294888,Seton,2,1,588
629900,Lakeview,4,2,1086
398000,Mosaic Of Elgin Hill,3,1.5,1165
309000,Bridgeland/Riverside,2,2,830
435000,Walden,2,2,1161
277000,Legacy,2,1,621
630000,Braeside,4,2.5,1303
499000,Copperfield,3,2.5,1292
659900,Strathcona Park,3,3.5,1663
199999,Skyview Ranch,1,1,569
525000,Forest Heights,4,2,1064
589000,Coventry Hills,3,3.5,1417
569000,Crescent Heights,4,2.5,1056
549900,South CA,2,2,630
949900,Saddle Ridge,6,3.5,2376
750000,Altadore,4,2,864
418000,Copperfield Chalet,2,2.5,1576
664950,Tuxedo Park,4,3.5,1930
649900,Arbour Lake,4,3.5,1536
599900,West Springs,2,2.5,1001
925000,Altadore,4,3.5,1837
699000,Tuxedo Park,2,1,1017
549000,Taradale,4,3.5,1398
464990,Rundle,3,2,950
629900,Douglasdale/Glen,3,2.5,2119
500000,Legacy,3,2.5,1506
689900,Saddle Ridge,4,2.5,1668
682500,Downtown East Village,2,2,1073
999900,Killarney/Glengarry,4,3.5,1933
514900,Copperfield,4,3,1167
1295000,Christie Park,5,3,1666
425000,West Springs,2,2,945
649900,Evanston,4,2.5,1947
539900,Landmark Estates,2,2.5,1686
255000,Sunnyside,1,1,424
349000,Falconridge,3,1.5,1022
1799000,Silverado,3,2.5,3488
499900,Glamorgan,4,2,2210
329000,Skyview Ranch,2,2,848
199000,Windsor Park,1,1,615
695000,Auburn Bay,3,2.5,2128
249000,Sunalta,2,1,807
799000,Rosscarrock,3,3.5,1612
1199000,Altadore,4,3.5,2006
649900,Erlton,2,3.5,1309
649900,Bridlewood,4,2.5,2158
550000,Woodbine,4,2,1141
269900,Patterson,2,2,819
425000,Zen In Aspen,2,2.5,1044
445000,Cornerstone,4,2.5,1483
849900,Evanston,4,3.5,2478
699800,Lakeview,2,2,1136
